Date,Open,High,Low,Close,Adj Close,Volume
01-12-1988,6.8125,6.8125,6.458333,6.479167,2.97654,10277400
02-12-1988,6.5,6.520833,6.395833,6.4375,2.957398,5084400
05-12-1988,6.375,6.541667,6.270833,6.479167,2.992811,6139200
06-12-1988,6.479167,6.5,6.416667,6.4375,2.973565,4168800
07-12-1988,6.479167,6.583333,6.458333,6.5625,3.031305,5450400
08-12-1988,6.5,6.583333,6.5,6.5625,3.031305,3070800
09-12-1988,6.5625,6.666667,6.5625,6.625,3.060174,4001400
12-12-1988,6.625,6.666667,6.520833,6.541667,3.02168,2764800
13-12-1988,6.5,6.541667,6.416667,6.5,3.002434,3231600
14-12-1988,6.4375,6.5,6.416667,6.5,3.002434,2385000
15-12-1988,6.458333,6.5,6.458333,6.5,3.002434,2130000
16-12-1988,6.479167,6.520833,6.416667,6.458333,2.983188,7840800
19-12-1988,6.458333,6.5625,6.4375,6.541667,3.02168,3031200
20-12-1988,6.541667,6.625,6.541667,6.583333,3.040928,6819600
21-12-1988,6.583333,6.625,6.5625,6.604167,3.050549,5982000
22-12-1988,6.604167,6.625,6.541667,6.583333,3.040928,4276200
23-12-1988,6.604167,6.625,6.583333,6.604167,3.050549,1096800
27-12-1988,6.604167,6.625,6.520833,6.541667,3.02168,4059000
28-12-1988,6.541667,6.5625,6.479167,6.5,3.002434,2452800
29-12-1988,6.5,6.666667,6.5,6.645833,3.069796,7229400
30-12-1988,6.666667,6.666667,6.5625,6.583333,3.040928,2670600
03-01-1989,6.583333,6.604167,6.458333,6.583333,3.040928,3011400
04-01-1989,6.541667,6.645833,6.520833,6.645833,3.069796,2776800
05-01-1989,6.6875,6.708333,6.604167,6.625,3.060174,6148800
06-01-1989,6.625,6.666667,6.583333,6.583333,3.040928,3555000
09-01-1989,6.583333,6.645833,6.541667,6.5625,3.031305,2995800
10-01-1989,6.541667,6.5625,6.5,6.541667,3.02168,1828200
11-01-1989,6.541667,6.5625,6.520833,6.5625,3.031305,2713200
12-01-1989,6.5625,6.625,6.541667,6.583333,3.040928,4402800
13-01-1989,6.604167,6.645833,6.4375,6.458333,2.983188,5958600
16-01-1989,6.479167,6.479167,6.395833,6.458333,2.983188,3946200
17-01-1989,6.479167,6.541667,6.458333,6.541667,3.02168,3746400
18-01-1989,6.479167,6.479167,6.458333,6.479167,2.992811,5054400
19-01-1989,6.458333,6.479167,6.354167,6.395833,2.954319,4839600
20-01-1989,6.354167,6.395833,6.3125,6.3125,2.915827,3765600
23-01-1989,6.354167,6.375,6.291667,6.3125,2.915827,3684000
24-01-1989,6.333333,6.416667,6.3125,6.416667,2.963942,4674000
